race,start_year_month,age,start_freq,exit_freq,treatment_days,start_freq_relative,exit_freq_relative,change_freq,change_freq_relative,change_freq_pctpt
African American,2015-07,46.142857142857146,18.571428571428573,10.285714285714286,18.142857142857142,61.904761904761905,34.285714285714285,-8.285714285714286,-56.836734693877546,-27.619047619047617
African American,2015-08,50.42857142857143,28.285714285714285,20.857142857142858,24.285714285714285,94.28571428571429,69.52380952380953,-7.428571428571429,-29.62585034013605,-24.76190476190476
African American,2015-09,42.6,15.2,13.4,8.1,50.666666666666664,44.66666666666667,-1.8,91.33333333333331,-6.0
African American,2015-10,39.75,23.25,20.25,3.125,77.5,67.5,-3.0,-24.374999999999996,-9.999999999999996
African American,2015-11,56.5,5.5,3.5,4.5,18.333333333333332,11.666666666666666,-2.0,-65.0,-6.666666666666665
African American,2015-12,31.166666666666668,17.0,14.666666666666666,6.5,56.666666666666664,48.88888888888889,-2.3333333333333335,-27.777777777777775,-7.777777777777776
African American,2016-01,49.142857142857146,18.0,14.857142857142858,14.857142857142858,60.0,49.523809523809526,-3.142857142857143,-28.06122448979591,-10.476190476190473
African American,2016-02,43.0,15.666666666666666,9.5,12.333333333333334,52.22222222222222,31.666666666666668,-6.166666666666667,-56.76587301587301,-20.555555555555557
African American,2016-03,50.75,13.5,9.5,8.5,45.0,31.666666666666664,-4.0,-45.71488294314382,-13.33333333333334
African American,2016-04,46.6,10.2,3.8,13.6,34.0,12.666666666666666,-6.4,-80.0,-21.333333333333332
African American,2016-05,46.5,17.166666666666668,10.0,6.166666666666667,57.22222222222222,33.333333333333336,-7.166666666666667,-49.444444444444436,-23.888888888888886
African American,2016-06,41.666666666666664,20.333333333333332,12.0,8.333333333333334,67.77777777777777,40.0,-8.333333333333334,-27.777777777777775,-27.777777777777775
American Indian,2015-07,52.0,8.0,7.0,1.0,26.666666666666668,23.333333333333332,-1.0,-12.500000000000009,-3.3333333333333357
American Indian,2015-08,53.0,30.0,26.0,14.0,100.0,86.66666666666667,-4.0,-13.333333333333327,-13.333333333333329
American Indian,2015-09,22.0,20.0,0.0,33.0,66.66666666666666,0.0,-20.0,-100.0,-66.66666666666666
American Indian,2016-02,59.0,6.0,0.0,51.0,20.0,0.0,-6.0,-100.0,-20.0
American Indian,2016-04,47.0,22.5,19.5,4.0,75.0,65.0,-3.0,-15.0,-10.0
American Indian,2016-05,24.0,15.0,10.0,35.0,50.0,33.33333333333333,-5.0,-33.33333333333334,-16.66666666666667
American Indian,2016-06,35.0,20.0,20.0,25.0,66.66666666666666,66.66666666666666,0.0,0.0,0.0
Asian or Pacific Islander,2015-07,40.0,1.5,0.0,8.5,5.0,0.0,-1.5,-100.0,-5.0
Asian or Pacific Islander,2015-09,56.0,1.0,0.0,2.0,3.3333333333333335,0.0,-1.0,-100.0,-3.3333333333333335
Asian or Pacific Islander,2015-12,44.0,3.0,0.0,5.0,10.0,0.0,-3.0,-100.0,-10.0
Asian or Pacific Islander,2016-03,43.0,4.0,2.0,1.0,13.333333333333334,6.666666666666667,-2.0,-50.0,-6.666666666666667
Asian or Pacific Islander,2016-05,22.0,15.0,5.0,9.0,50.0,16.666666666666664,-10.0,-66.66666666666667,-33.333333333333336
Asian or Pacific Islander,2016-06,28.0,29.0,29.0,30.0,96.66666666666667,96.66666666666667,0.0,0.0,0.0
Hispanic,2015-07,47.6,11.4,8.8,3.2,38.0,29.333333333333336,-2.6,-56.705882352941174,-8.666666666666666
Hispanic,2015-08,30.75,13.75,10.0,14.0,45.83333333333333,33.333333333333336,-3.75,-49.285714285714285,-12.5
Hispanic,2015-09,37.0,18.0,12.714285714285714,11.428571428571429,60.0,42.38095238095237,-5.285714285714286,-51.224489795918366,-17.61904761904762
Hispanic,2015-10,32.5,15.333333333333334,7.666666666666667,15.0,51.11111111111111,25.555555555555557,-7.666666666666667,-72.22222222222223,-25.555555555555554
Hispanic,2015-11,30.0,19.666666666666668,15.0,14.0,65.55555555555556,50.0,-4.666666666666667,-46.56565656565656,-15.555555555555557
Hispanic,2015-12,36.1,25.8,20.6,14.8,86.0,68.66666666666667,-5.2,-25.452380952380945,-17.33333333333333
Hispanic,2016-01,39.142857142857146,10.857142857142858,9.428571428571429,11.857142857142858,36.19047619047619,31.428571428571427,-1.4285714285714286,-46.666666666666664,-4.761904761904762
Hispanic,2016-02,35.875,25.875,18.75,8.125,86.25,62.5,-7.125,-30.636288998357962,-23.75
Hispanic,2016-03,41.166666666666664,19.666666666666668,15.833333333333334,5.166666666666667,65.55555555555556,52.77777777777778,-3.8333333333333335,-33.33333333333333,-12.777777777777773
Hispanic,2016-04,33.333333333333336,30.0,17.666666666666668,11.666666666666666,100.0,58.88888888888889,-12.333333333333334,-41.11111111111111,-41.11111111111111
Hispanic,2016-05,46.125,21.375,15.5,14.625,71.25,51.66666666666667,-5.875,-38.05626598465473,-19.583333333333332
Hispanic,2016-06,35.0,20.2,10.0,15.2,67.33333333333333,33.33333333333333,-10.2,-59.333333333333336,-34.0
Other or Multiple Race Groups,2015-07,34.333333333333336,21.666666666666668,18.333333333333332,2.3333333333333335,72.22222222222221,61.111111111111114,-3.3333333333333335,-27.77777777777777,-11.111111111111109
Other or Multiple Race Groups,2015-08,41.5,16.0,9.5,5.5,53.333333333333336,31.666666666666664,-6.5,-68.33333333333334,-21.666666666666668
Other or Multiple Race Groups,2015-09,24.5,14.5,10.5,6.0,48.333333333333336,35.0,-4.0,-58.0,-13.33333333333334
Other or Multiple Race Groups,2015-10,22.0,22.5,15.0,7.0,75.0,50.0,-7.5,-41.666666666666664,-24.999999999999996
Other or Multiple Race Groups,2015-11,36.5,22.5,18.0,5.5,75.0,60.0,-4.5,-38.39285714285714,-14.999999999999998
Other or Multiple Race Groups,2016-01,32.0,18.5,16.5,1.5,61.666666666666664,55.0,-2.0,-12.142857142857142,-6.666666666666666
Other or Multiple Race Groups,2016-02,29.0,16.5,9.0,7.0,55.0,30.0,-7.5,-70.0,-25.0
Other or Multiple Race Groups,2016-03,32.0,20.0,13.0,6.0,66.66666666666667,43.333333333333336,-7.0,-46.4957264957265,-23.333333333333336
Other or Multiple Race Groups,2016-04,34.0,15.666666666666666,8.333333333333334,7.666666666666667,52.22222222222222,27.777777777777782,-7.333333333333333,-42.22222222222222,-24.444444444444443
Other or Multiple Race Groups,2016-05,40.666666666666664,21.0,5.666666666666667,12.333333333333334,70.0,18.88888888888889,-15.333333333333334,-71.1111111111111,-51.111111111111114
Other or Multiple Race Groups,2016-06,30.0,20.0,13.0,6.0,66.66666666666666,43.333333333333336,-7.0,-34.999999999999986,-23.33333333333332
White,2015-07,44.57692307692308,16.576923076923077,11.807692307692308,6.134615384615385,55.25641025641026,39.35897435897436,-4.769230769230769,-48.62143874643875,-15.897435897435896
White,2015-08,47.951219512195124,13.804878048780488,9.341463414634147,5.2439024390243905,46.016260162601625,31.138211382113823,-4.463414634146342,-52.14536024670591,-14.878048780487802
White,2015-09,44.98076923076923,16.653846153846153,12.076923076923077,5.461538461538462,55.51282051282051,40.25641025641026,-4.576923076923077,-48.8273913115542,-15.256410256410255
White,2015-10,43.27450980392157,15.490196078431373,11.745098039215685,5.2745098039215685,51.63398692810458,39.150326797385624,-3.7450980392156863,-44.73956120290306,-12.483660130718954
White,2015-11,46.76086956521739,16.804347826086957,12.978260869565217,4.717391304347826,56.01449275362319,43.26086956521739,-3.8260869565217392,-40.06319489827735,-12.753623188405797
White,2015-12,45.857142857142854,14.952380952380953,11.166666666666666,4.261904761904762,49.84126984126984,37.22222222222222,-3.7857142857142856,-21.976628051751202,-12.619047619047619
White,2016-01,42.36666666666667,15.966666666666667,10.633333333333333,6.5,53.22222222222222,35.44444444444444,-5.333333333333333,-55.69444444444444,-17.77777777777778
White,2016-02,49.43478260869565,14.826086956521738,11.695652173913043,4.891304347826087,49.42028985507247,38.98550724637681,-3.130434782608696,11.538717378988036,-10.43478260869565
